Position,Artist Name,Song Name,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams,weeks_on_chart,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,time_signature,duration_ms,,,
2,Juice WRLD ,Lucid Dreams,178,1,20,2127668,864832399,194,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,83.903,4,239836,,,
4,J. Cole ,No Role Modelz,6,7,0,659366,734857487,35,0.69,0.521,10,-8.492,0,0.339,0.324,0,0.0534,100.028,4,292799,,COUNT,147
6,Travis Scott ,goosebumps,4,8,0,977275,672972704,226,0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,130.049,4,243837,,MAX,248
7,The Weeknd ,Blinding Lights,233,1,11,2355059,644287953,121,0.514,0.73,1,-5.934,1,0.0598,0.00146,0.0000954,0.0897,171.005,4,200040,,XLOOKUP,Heat Waves
8,XXXTENTACION ,Jocelyn Flores,44,2,1,3175206,624457164,216,0.872,0.391,0,-9.144,0,0.242,0.469,0.00000413,0.297,134.021,4,119133,,,
11,Kendrick Lamar ,HUMBLE.,152,1,67,4060034,606305588,96,0.908,0.621,1,-6.638,0,0.102,0.000282,0.0000539,0.0958,150.011,4,177000,,,
12,Post Malone ,Circles,163,1,38,3441328,598521764,134,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,120.042,4,215280,,,
17,Glass Animals ,Heat Waves,248,1,34,1230046,540754791,65,0.761,0.525,11,-6.9,1,0.0944,0.44,0.0000067,0.0921,80.87,4,238805,,,
24,Olivia Rodrigo ,good 4 u,187,1,53,4974833,454100610,45,0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,166.928,4,178147,,,
31,Lewis Capaldi ,Someone You Loved,40,5,0,1118953,410725370,168,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,109.891,4,182161,,,
32,Harry Styles ,Watermelon Sugar,65,3,3,1609066,409073262,123,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,95.39,4,174000,,,
39,The Weeknd ,The Hills,194,1,6,1147436,392023505,50,0.585,0.564,0,-7.063,0,0.0515,0.0671,0,0.135,113.003,4,242253,,,
40,Dua Lipa ,Levitating,113,3,3,1284080,387860108,38,0.695,0.884,6,-2.278,0,0.0753,0.0561,0,0.213,103.014,4,203808,,,
43,Olivia Rodrigo ,drivers license,99,1,46,6145601,381085710,63,0.561,0.431,10,-8.81,1,0.0578,0.768,0.0000142,0.106,143.875,4,242013,,,
52,Harry Styles ,As It Was,203,1,40,5953134,348668080,19,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,173.93,4,167303,,,
53,Ed Sheeran ,Shape of You,96,1,48,2156546,348283656,269,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,95.977,4,233713,,,
75,Olivia Rodrigo ,deja vu,106,2,20,2794828,304638969,51,0.442,0.612,2,-7.222,1,0.112,0.584,0.0000057,0.37,180.917,4,215507,,,
76,Polo G ,RAPSTAR,84,1,22,2691084,299470033,40,0.789,0.536,6,-6.862,1,0.242,0.41,0,0.129,81.039,4,165926,,,
86,Lil Nas X ,MONTERO (Call Me By Your Name),123,1,11,2378862,288187067,52,0.593,0.503,8,-6.725,0,0.22,0.293,0,0.405,178.781,4,137704,,,
91,Dua Lipa ,Don't Start Now,47,4,0,1220899,284754771,125,0.793,0.793,11,-4.521,0,0.083,0.0123,0,0.0951,123.95,4,183290,,,
104,Olivia Rodrigo ,traitor,56,3,15,2709147,271379624,44,0.38,0.339,3,-7.885,1,0.0338,0.691,0,0.12,100.607,4,229227,,,
111,Harry Styles ,Adore You,18,1,1,1809594,264055553,104,0.676,0.771,8,-3.675,1,0.0483,0.0237,0.000007,0.102,99.048,4,207133,,,
112,Imagine Dragons ,Believer,5,9,0,898836,263375966,268,0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,124.949,4,204347,,,
123,Tones And I ,Dance Monkey,23,6,0,1022885,256274759,140,0.824,0.587,6,-6.401,0,0.0937,0.69,0.000105,0.149,98.029,4,209438,,,
135,The Weeknd ,Save Your Tears,49,2,4,1465508,242055670,68,0.68,0.826,0,-5.487,1,0.0309,0.0212,0.0000124,0.543,118.051,4,215627,,,
373,The Weeknd ,Save Your Tears,8,2,1,1723905,134482363,68,0.68,0.826,0,-5.487,1,0.0309,0.0212,0.0000124,0.543,118.051,4,215627,,,
137,The Weeknd ,Die For You,1,10,0,820834,240869086,26,0.586,0.525,1,-7.163,0,0.0615,0.111,0,0.134,133.629,4,260253,,,
140,Steve Lacy ,Bad Habit,136,1,66,1691327,239087671,5,0.686,0.494,1,-7.093,1,0.0355,0.613,0.000058,0.402,168.946,4,232067,,,
155,Doja Cat ,Woman,26,7,0,864796,232370353,37,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,107.998,4,172627,,,
166,Conan Gray ,Heather,13,8,0,888848,222474626,87,0.357,0.425,5,-7.301,1,0.0333,0.584,0,0.322,102.078,3,198040,,,
177,Bad Bunny ,Tití Me Preguntó,151,3,11,1885979,207857104,14,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,106.672,4,243717,,,
181,Billie Eilish ,Happier Than Ever,30,3,12,1688659,207031225,34,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,81.055,3,298899,,,
199,Justin Bieber ,Love Yourself,138,1,24,1333001,198773307,50,0.609,0.378,4,-9.828,1,0.438,0.835,0,0.28,100.418,4,233720,,,
206,Doja Cat ,Streets,57,3,12,1024708,195884808,45,0.749,0.463,11,-8.433,1,0.0842,0.21,0.0382,0.338,90.035,4,226987,,,
208,Jack Harlow ,First Class,77,1,11,5962326,195314542,18,0.902,0.582,5,-5.902,0,0.109,0.111,0.00000318,0.111,107.005,4,173948,,,
220,The Weeknd ,Call Out My Name,21,1,6,3490888,185191010,42,0.461,0.593,1,-4.954,1,0.0356,0.17,0,0.307,134.17,3,228373,,,
245,Sleepy Hallow ,2055,12,7,0,826350,176244822,27,0.829,0.512,6,-5.865,0,0.187,0.492,0,0.12,80.511,4,123987,,,
251,The Walters ,I Love You So,38,7,0,683985,174547021,24,0.575,0.648,10,-4.891,1,0.0358,0.583,0,0.115,75.977,4,160240,,,
252,Ed Sheeran ,Bad Habits,49,7,0,1259918,174488164,39,0.807,0.893,11,-3.745,0,0.0347,0.0451,0.0000279,0.366,126.011,4,230747,,,
258,Ed Sheeran ,Shivers,6,6,0,980767,173225595,28,0.788,0.859,2,-2.724,1,0.0856,0.281,0,0.0424,141.02,4,207853,,,
260,Adele ,Easy On Me,73,1,29,5435431,173180228,23,0.604,0.366,5,-7.519,1,0.0282,0.578,0,0.133,141.981,4,224695,,,
261,Ariana Grande ,positions,69,1,25,2805107,172797966,74,0.737,0.802,0,-4.771,1,0.0878,0.468,0,0.0931,144.015,4,172325,,,
263,Kodak Black ,Super Gremlin,117,2,9,1054999,171909115,15,0.825,0.414,2,-6.634,1,0.144,0.00265,0,0.357,72.993,4,200548,,,
277,Justin Bieber ,Ghost,4,9,0,895735,163964781,27,0.601,0.741,2,-5.569,1,0.0478,0.185,0.0000291,0.415,153.96,4,153190,,,
279,Joji ,Glimpse of Us,83,1,16,2474076,163315058,9,0.44,0.317,8,-9.258,1,0.0531,0.891,0.00000478,0.141,169.914,3,233456,,,
282,Kate Bush ,Running Up That Hill (A Deal With God),98,1,30,2430143,163034803,11,0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,108.375,4,298933,,,
290,Lil Nas X ,THATS WHAT I WANT,23,2,1,1896424,160369392,27,0.737,0.846,1,-4.51,0,0.22,0.00614,0,0.0486,87.981,4,143901,,,
293,Maroon 5 ,Memories,17,6,0,1118361,159686092,116,0.775,0.327,11,-7.241,1,0.0557,0.841,0,0.0821,91.05,4,189486,,,
300,Olivia Rodrigo ,favorite crime,32,4,0,1886343,156762362,31,0.369,0.272,9,-10.497,1,0.0364,0.866,0,0.147,172.929,4,152667,,,
303,Masked Wolf ,Astronaut In The Ocean,58,4,0,1028047,155387513,53,0.778,0.695,4,-6.865,0,0.0913,0.175,0,0.15,149.996,4,132780,,,
308,Hozier ,Take Me To Church,147,1,58,669026,152777306,75,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,128.945,4,241688,,,
317,Lizzo ,About Damn Time,51,3,1,1276164,148776441,15,0.836,0.743,10,-6.305,0,0.0653,0.0974,0,0.335,108.965,4,191938,,,
327,Doja Cat ,Ain't Shit,39,4,0,1413486,145660715,21,0.855,0.488,3,-4.601,1,0.208,0.506,0,0.347,124.097,4,174253,,,
334,Harry Styles ,Late Night Talking,29,2,10,3721821,144096811,12,0.714,0.728,10,-4.595,1,0.0468,0.298,0,0.106,114.996,4,177955,,,
343,Morgan Wallen ,You Proof,6,9,0,1723507,141716685,2,0.731,0.85,9,-4.913,1,0.0336,0.252,0,0.605,119.706,4,157478,,,
356,Harry Styles ,Falling,3,4,0,1454982,138072456,81,0.567,0.267,4,-6.502,1,0.0299,0.839,0.00000146,0.089,110.011,4,240133,,,
372,Bad Bunny ,Efecto,16,9,0,1315548,134743830,14,0.801,0.475,7,-8.797,0,0.0516,0.141,0.0000173,0.0639,98.047,4,213061,,,
375,Bad Bunny ,Yonaguni,14,3,2,1727530,133665412,42,0.644,0.648,1,-4.601,1,0.118,0.276,0,0.135,179.951,4,206710,,,
384,BTS ,Dynamite,14,3,3,1824254,131917493,83,0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,114.044,4,199054,,,
391,Bad Bunny ,Moscow Mule,11,1,1,2582359,128972121,14,0.804,0.674,5,-5.453,0,0.0333,0.294,0.00000118,0.115,99.968,4,245940,,,
415,OneRepublic ,I Ain't Worried,36,6,0,847839,122488638,10,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,139.994,4,148486,,,
418,Doja Cat ,Vegas (From the Original Motion Picture Soundtrack ELVIS),29,7,0,922178,121176458,10,0.801,0.601,8,-7.574,0,0.255,0.0777,0.0000323,0.145,159.969,4,182907,,,
431,Måneskin ,Beggin',29,4,0,1100134,118922920,42,0.714,0.8,11,-4.808,0,0.0504,0.127,0,0.359,134.002,4,211560,,,
460,GAYLE ,abcdefu,61,5,0,940468,112733991,19,0.695,0.54,4,-5.692,1,0.0493,0.299,0,0.367,121.932,4,168602,,,
478,Olivia Rodrigo ,happier,29,5,0,2279399,109009363,44,0.395,0.443,6,-9.72,1,0.133,0.765,0.00000967,0.0839,168.924,3,175933,,,
493,Olivia Rodrigo ,"jealousy, jealousy",4,9,0,1994138,106842027,29,0.695,0.575,10,-6.334,0,0.116,0.198,0,0.0614,163.929,4,173160,,,
500,Frank Ocean ,Lost,1,10,0,657541,105158717,10,0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,123.061,4,234093,,,
515,XXXTENTACION ,Hope,1,10,0,1443350,102329254,35,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,146.04,4,110886,,,
523,Taylor Swift ,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),24,1,9,3490740,100920020,19,0.631,0.518,0,-8.771,1,0.0303,0.274,0,0.088,93.023,4,613027,,,
